2629|||2|LOS CERRITOS|SHI|2|2359|2095-08-05|2098-04-29|803|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|2359|N|I|SHI|NULL|M|Y|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
2661|||2|L.A. METRO MALL II|SHI|2|1193|||0|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|1193|H|K|SHI|NULL|M|N|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|KN|NULL|NULL|NULL|NULL|NULL|269|20816|3108|2012-02-25|NULL|NULL
4037|||2|SGH CATALOG(SPECIAL ORDER)|INT|2|1631|2095-03-26||0|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|1|114|CLOSED REGION|1631|N|G|INT|G|N|NULL|NULL|NULL|NULL||||NULL|||0|||NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|269|12486|3108|2012-02-25|NULL|NULL
4101|||2|*LONG BEACH PLAZA|SHI|2|449|2089-12-04|2097-07-01|803|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|449|H|I|SHI|NULL|M|NULL|B|NA|USD|0|0|1|0|0|5|0|0|0|5|B|NULL|S/A|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
4141|||2|JENT FACTORY STORES|SHI|2|1563|2095-07-27|2098-09-27|632|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|1563|H|I|SHI|NULL|O|NULL|O|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|O|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
4253|||2|TANGER OUTLET CTR@KENSINGTON|SHI|2|5031|||505||NULL|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||544|DETROIT / N. MICHIGA|5031|H|I|SHI|NULL|O|N|O|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|269|24547|3108|2012-02-25|NULL|NULL
5613|||2|GREEN ACRES MALL|SHI|2|4690|2093-06-15|2003-01-31|501|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|690|H|K|SHI|NULL|M|Y|B|NA|USD|0|0|3|3|0|5|2|2|0|NULL|A|NULL|KOV|NULL|NULL|NULL|NULL|NULL|269|20816|3108|2012-02-25|NULL|NULL
5709|||2|EL CON MALL|SHI|2|4192|2086-10-30|2003-06-24|789|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|192|H|K|SHI|NULL|M|NULL|B|NA|USD|0|0|3|3|0|5|2|1|0|8|C|NULL|KOV|NULL|NULL|NULL|Z|NULL|269|20816|3108|2012-02-25|NULL|NULL
5909|||2|BELDEN VILLAGE MALL|SHI|2|252|2087-11-27|2093-01-30|510|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|252|H|K|SHI|NULL|M|NULL|N|NA|USD|0|0|0|0|0|5|0|0|0|NULL|NULL|NULL|N|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
5925|||2|EAST HILLS SHOPPING CENTER|SHI|2|824|2090-03-19|2099-12-29|638|99|SH-STR CLOSINGS|1|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL||114|CLOSED REGION|824|G|I|SHI|NULL|M|Y|B|NA|USD|0|0|3|3|0|5|2|2|0|8|C|NULL|S|NULL|NULL|NULL|NULL|CL|269|20816|3108|2012-02-25|NULL|NULL
